Re,Pr,Da,porosity,thickness,amplitude,wavelength,Nuavg,DelP_Pa
25,3,0.001,0.85,0.1,0.0,0.0,6.7058,3.5391007
25,3,0.001,0.85,0.2,0.0,0.0,7.2261,4.931962
25,3,0.001,0.85,0.3,0.0,0.0,7.8352,6.9917847
25,3,0.001,0.8,0.1,0.0,0.0,6.7107,3.5506918
25,3,0.001,0.8,0.2,0.0,0.0,7.233,4.9540439
25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.0272847
25,3,0.001,0.75,0.1,0.0,0.0,6.7158,3.5627573
25,3,0.001,0.75,0.2,0.0,0.0,7.2402,4.9773848
25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.0650341
25,3,0.001,0.7,0.1,0.0,0.0,6.7212,3.575394
25,3,0.001,0.7,0.2,0.0,0.0,7.2478,5.0019789
25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.105325400000001
25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,4.437649
25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,6.7143536
25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,10.326261
25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,4.4470186
25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,6.731568299999999
25,3,0.0001,0.8,0.3,0.0,0.0,8.4287,10.355907
25,3,0.0001,0.75,0.1,0.0,0.0,7.0204,4.4569642
25,3,0.0001,0.75,0.2,0.0,0.0,7.6351,6.7501525
25,3,0.0001,0.75,0.3,0.0,0.0,8.4333,10.387515
25,3,0.0001,0.7,0.1,0.0,0.0,7.0235,4.4674817
25,3,0.0001,0.7,0.2,0.0,0.0,7.6389,6.770200999999999
25,3,0.0001,0.7,0.3,0.0,0.0,8.4382,10.422079
25,3,1e-05,0.85,0.1,0.0,0.0,7.0987,6.6742439000000005
25,3,1e-05,0.85,0.2,0.0,0.0,7.7415,14.034764
25,3,1e-05,0.85,0.3,0.0,0.0,8.5874,25.849678
25,3,1e-05,0.8,0.1,0.0,0.0,7.0997,6.6853538
25,3,1e-05,0.8,0.2,0.0,0.0,7.7428,14.060641
25,3,1e-05,0.8,0.3,0.0,0.0,8.589,25.895523
25,3,1e-05,0.75,0.1,0.0,0.0,7.1008,6.6977547
25,3,1e-05,0.75,0.2,0.0,0.0,7.7441,14.089505
25,3,1e-05,0.75,0.3,0.0,0.0,8.5907,25.947354
25,3,1e-05,0.7,0.1,0.0,0.0,7.1019,6.711645
25,3,1e-05,0.7,0.2,0.0,0.0,7.7455,14.122356
