experiment,target,model,family,high_error_detection_AUROC,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate
random80_20,Nuavg,ordinary_power_law,symbolic,0.5677142542814185,0.0,0.0,0.0,0.0,0.0,0.0027423929045440032,0.014987213832267253,2.2197361431172613,0.0
random80_20,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6649968829073306,0.0,0.0,0.0,0.0,0.0,0.0033220214090259378,0.015011241245238515,2.7157022553946173,0.0
random80_20,Nuavg,unconstrained_gp_sr,symbolic,0.5095236348967692,0.0,0.0,0.0,0.0,0.0,0.0020196976172720503,0.008951803533075106,1.7042658041154768,0.0
random80_20,Nuavg,positive_complexity_gp_sr,symbolic,0.46531592650995635,0.0,0.0,0.0,0.0,0.0,0.0015568825510025948,0.010418884263588099,1.4400196867193578,0.0
random80_20,Nuavg,certified_symbolic,symbolic,0.6649968829073306,0.0,0.0,0.0,0.0,0.0,0.0033220214090259378,0.015011241245238515,2.7157022553946173,0.0
random80_20,Nuavg,random_forest,black_box,0.7576625472147861,0.0,0.0,0.0,0.0,0.0,0.0,0.001037046418615133,2.7637983106195465,0.0
random80_20,Nuavg,xgboost_hist,black_box,0.6516850636253622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0007024935024957,0.0
range_re_high_holdout,Nuavg,ordinary_power_law,symbolic,0.8180149564514385,0.0,0.0,0.0,0.0,0.0,0.0024792489547189223,0.011756058306085122,2.002158790416685,0.0
range_re_high_holdout,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.5619738567621304,0.0,0.0,0.0,0.0,0.0,0.002905292328536564,0.011741189062127531,2.2705177275607005,0.0
range_re_high_holdout,Nuavg,unconstrained_gp_sr,symbolic,0.8130420068530818,0.0,0.0,0.0,0.0,0.0,0.001335954546044443,0.006090146890935863,1.4971555752423713,0.0
range_re_high_holdout,Nuavg,positive_complexity_gp_sr,symbolic,0.5659315349869096,0.0,0.0,0.0,0.0,0.0,0.001696635877878687,0.011992471117629732,1.6954249922098628,0.0
range_re_high_holdout,Nuavg,certified_symbolic,symbolic,0.5619738567621304,0.0,0.0,0.0,0.0,0.0,0.002905292328536564,0.011741189062127531,2.2705177275607005,0.0
range_re_high_holdout,Nuavg,random_forest,black_box,0.7617708024874148,0.0,0.0,0.0,0.0,0.0,0.0,0.0005016366970536626,2.417372342310649,0.0
range_re_high_holdout,Nuavg,xgboost_hist,black_box,0.7615545872874863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.710092165728258,0.0
