experiment,target,model,family,selection_MAE,selection_RMSE,selection_MAPE,selection_R2,complexity,expression,notes,fit_seconds,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate,selection_score
random80_20,Nuavg,ordinary_power_law,symbolic,1.1122170055820937,2.0084724153471956,5.968070226710533,0.9507155043242156,8,Nuavg = 2.3467225 Re^{0.283971} Pr^{0.30202} Da^{-0.00530776} porosity^{0.00486512} thickness^{0.154499} exp(-0.127552amplitude) exp(-0.00422773wavelength),Log-linear ordinary least-squares power-law correlation.,0.014042999944649637,0.0,0.0,0.0,0.0,0.0,0.0025801243628006663,0.012727244951008658,2.2482326378565785,0.0,0.30595701836823885
random80_20,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.574203754175755,1.18153577552867,2.717346355719027,0.9829441909132871,14,Nuavg = exp(1.43162 + 3.59484e-06 Re + 0.0436888 log(Re) + 0.0216365 sqrt(Re) + 0.00207842 Pr + 0.0106042 sqrt(Pr) - 0.00160132 log(Da) - 1.43648 sqrt(Da) + 0.877235 thickness - 0.124085 amplitude - 0.00350011 wavelength + 0.0505118 log(Re)log(Pr) + 0.00058907 log(Re)log(Da) - 0.000102195 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.08220020006410778,0.0,0.0,0.0,0.0,0.0,0.003246014561823127,0.012681444460264096,2.7294930386232084,0.0,0.23897538622741557
random80_20,Nuavg,unconstrained_gp_sr,symbolic,3.539010363473355,5.007790668824371,20.812000308676197,0.693612595848306,8,"Nuavg = add(sqrt(add(Re, Pr)), abs(sqrt(Pr)))",Unconstrained genetic-programming symbolic regression.,2.9261677999747917,0.0,0.0,0.0,0.0,0.0,0.001923518273224129,0.008266969925475542,1.7052815271481867,0.0,0.6893756273443137
random80_20,Nuavg,positive_complexity_gp_sr,symbolic,5.055565842280243,6.731855139205057,30.326150984235404,0.4463336901781303,13,"Nuavg = exp(sqrt(mul(1.334, add(add(mul(1.334, add(log(Pr), porosity)), porosity), porosity))))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.5488196000223979,0.0,0.0,0.0,0.0,0.0,0.0014531640697319427,0.009269909232506028,1.875378004027053,0.0,1.074850261251991
range_re_high_holdout,Nuavg,ordinary_power_law,symbolic,0.7580890041642648,1.1796048581802214,5.103817278228674,0.9648888932906797,8,Nuavg = 2.6304803 Re^{0.262279} Pr^{0.280537} Da^{-0.00616637} porosity^{-0.00250708} thickness^{0.150924} exp(-0.181898amplitude) exp(7.1233e-05wavelength),Log-linear ordinary least-squares power-law correlation.,0.0017500000540167093,0.0,0.0,0.0,0.0,0.0,0.002318358674439266,0.010302209475438494,2.022319732234714,0.0,0.2838339585705829
range_re_high_holdout,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.316509951201825,0.5587845769125687,2.013667233109912,0.9921211971220789,15,Nuavg = exp(1.40773 + 0.000389507 Re + 0.073565 log(Re) + 0.00672886 sqrt(Re) + 0.00250404 Pr + 0.00791648 sqrt(Pr) - 7.97156 Da - 0.000378902 log(Da) - 1.43814 sqrt(Da) + 0.865785 thickness - 0.177423 amplitude + 0.0501883 log(Re)log(Pr) + 0.00032172 log(Re)log(Da) - 0.00121759 log(Re)log(porosity) - 0.000521767 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.06725600000936538,0.0,0.0,0.0,0.0,0.0,0.0028405169495237213,0.010524305533217294,2.2871682680961767,0.0,0.22787883157784578
range_re_high_holdout,Nuavg,unconstrained_gp_sr,symbolic,2.6384608753845247,3.3890810261116826,19.39998575817368,0.7101753514911151,13,"Nuavg = add(add(sqrt(Pr), abs(log(Re))), add(log(Pr), abs(log(Re))))",Unconstrained genetic-programming symbolic regression.,0.5316087999381125,0.0,0.0,0.0,0.0,0.0,0.0012239294350390336,0.005607485009797864,1.432264841285426,0.0,0.6108506695231598
range_re_high_holdout,Nuavg,positive_complexity_gp_sr,symbolic,4.334023189543978,5.431069273370858,28.100902428078566,0.25571014703317396,9,"Nuavg = exp(sqrt(mul(1.334, mul(1.334, add(log(Pr), porosity)))))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.5583716999972239,0.0,0.0,0.0,0.0,0.0,0.0016656228675217708,0.011204368874963023,1.4220195227104604,0.0,1.1057142857142859
geometry_holdout,Nuavg,ordinary_power_law,symbolic,0.9834341968821317,1.639342998555551,5.752483150971826,0.9610358164926054,8,Nuavg = 2.3360084 Re^{0.28443} Pr^{0.300937} Da^{-0.00494506} porosity^{-0.0065046} thickness^{0.15064} exp(-0.204312amplitude) exp(-0.000743547wavelength),Log-linear ordinary least-squares power-law correlation.,0.0016935999738052487,0.0,0.0,0.0,0.0,0.0,0.0025957615048012757,0.012764441080749261,2.2544861931709397,0.0,0.3018036317918936
geometry_holdout,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.49306335075643887,0.9430321418944627,2.5468735488872354,0.9871062599482079,14,Nuavg = exp(1.40214 + 5.55469e-05 Re + 0.0573371 log(Re) + 0.0183912 sqrt(Re) + 0.00172736 Pr + 0.0171834 sqrt(Pr) - 0.00190231 log(Da) - 1.35017 sqrt(Da) + 0.844883 thickness - 0.175864 amplitude - 0.0021946 wavelength + 0.0490286 log(Re)log(Pr) + 0.000617299 log(Re)log(Da) - 0.0011719 log(Re)log(porosity)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.10623160004615784,0.0,0.0,0.0,0.0,0.0,0.0032418904981557166,0.012743453428256165,2.7137704009968444,0.0,0.23938837946625835
